,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,A3_Spco,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
C1,869255.4127,255698.9865,833505.8093,890459.2806,871942.1878,1581471.541,54949.36076,916185.6392,1424389.857,1141298.388,206066.2578,130288.5042,428223.8464,113109.1618,65197.01749,155218.1524,1649672.755,1159349.457,1370771.846,1192483.468,1216842.812,728433.9776,1292446.286,2125261.17,249281.6123,1130653.297,940407.6897,242262.5015,1226785.277,882011.1198,301114.6136,1609380.029,1454310.788,1947268.08,72648.65263,1351190.743,3333154.032,165446.2128,133657.1449,1347374.115,315196.1983,463589.0335,48965.36348,2101787.445,950383.0679,879023.7395,247674.183,1117699.147,1550757.237,1885351.451,670327.6742,99689.39039,222683.8529,1554167.16,81436.8253,255406.437,1034989.624
C2,332105.945,6513.833238,256739.3292,351835.6213,310595.0627,2971.276051,5832.989197,263005.2463,393766.6163,282217.8344,7542.024639,4665.268166,8092.519892,5998.011217,338922.4425,7724.757838,5402.585448,160500.7759,72852.75417,247882.8167,287394.2151,105622.4909,347791.1457,2389.120092,251672.5247,253489.7816,231289.2714,5249.192982,348812.1265,222787.7186,6687.695374,3279.337099,298790.9706,4506.142642,4070.774538,90851.88568,1761.019761,6859.500048,340216.1732,378609.8391,4764.526958,6168.255725,5608.663593,3850.137969,244711.1795,4525.96884,310730.817,315104.4039,6250.827318,58851.22994,224600.034,6816.857457,5921.06285,6600.408741,7024.952768,373700.1433,392840.7208
C3,34690.98412,1723.454076,16013.29992,20278.51165,64364.75203,2371.783742,2067.5372,45474.43033,35967.45524,100382.8336,6593.968934,1628.538563,2463.030585,672.3018478,170199.3014,5039.237022,1416.449178,46534.49172,10191.12344,29820.03262,75195.46072,48244.75223,33275.6994,1417.102144,185983.4134,30956.11282,22316.05985,1203.747474,40416.32393,39237.87916,2107.729887,590.9559444,41809.43852,1588.729757,466.2795131,8561.625584,1276.73736,569.7370301,22421.50309,25157.60418,1410.33017,465.2415395,778.149018,434.3513721,55526.85745,4742.733923,114785.5776,30880.30414,1989.053376,2882.492356,40100.45513,2357.8909,564.3837092,421.5564005,1656.91185,60209.84504,35826.58161
C4,938189.7062,296553.3227,940741.661,1092472.858,1058790.348,1628777.759,104410.8311,881420.4436,1343911.848,1166851.329,306571.1271,244470.2824,570447.3948,352624.453,205696.4954,251263.5848,1296877.225,1295051.227,1302241.433,1287207.603,1329902.968,886929.7032,1356667.543,1917443.49,667746.6543,1072145.739,900429.4584,390460.3086,1241779.642,689175.5273,296207.7598,1411552.136,1358911.588,1879877.402,122867.5489,1188533.115,1955715.083,331268.3391,327519.4623,1217010.129,548726.0088,581470.9956,114598.7913,1952304.454,851730.6616,1073904.936,590474.7734,929153.1306,1224912.177,2603049.271,938269.2283,228432.6109,481820.1107,1178509.042,130568.4852,320602.6752,1130331.289
C5,30690.18144,52023.11638,30605.4929,29110.0025,20801.39067,33192.06995,68655.05147,38112.7982,39681.03863,31929.76334,86362.31103,77487.16742,34710.09743,54734.75483,37590.74337,3395.960491,50081.90676,7225.863422,8263.610283,30594.79263,43478.72759,8336.585845,14857.10957,5819.766973,30666.81363,15546.5252,19270.9585,62644.06387,8266.811393,6245.340381,37155.00925,10764.6044,16689.48835,49028.74363,24518.62239,18708.79104,13957.95318,35933.44871,37026.05538,30403.00287,41691.55963,46490.54131,17173.81068,27223.45394,8371.447421,51226.36582,6594.783274,5625.983851,55198.96563,19351.41123,24162.806,49694.50616,18672.38355,45044.80046,33234.72857,18913.04913,42028.36391
C6,10630.21131,660193.3124,3881.766245,15451.83505,2877.313067,3961.923064,1519004.017,4654.610676,9725.942632,3082.242443,920440.7459,1083774.731,678839.5391,1148265.219,727925.9225,872215.1729,755176.4612,17891.43947,18711.75937,7041.86889,2589.928412,20761.92418,905.4774091,1252.123183,468391.3343,4198.700428,98574.25152,1033659.389,8926.97694,8532.092849,1246544.369,2748.669068,9036.600973,1861.463235,693988.9514,29457.03602,2119.115934,1279639.835,849505.3417,5258.760541,1258987.79,1602064.147,1040545.793,3631.770879,2254.754058,712053.5106,474894.2044,5868.74718,282931.1556,5543.440624,13631.61373,1341214.319,654089.6432,5254.175389,1541337.904,325722.7499,9107.68384
C7,50440.32122,411984.4616,44787.95874,51862.34185,54630.9145,100107.671,141142.8688,28024.99203,61368.21476,42512.8873,282063.7419,181653.8072,325573.5002,231740.0717,71325.18377,238711.6638,125642.4398,43557.52697,37334.35149,97722.69947,38006.90887,46206.96145,74146.78136,101083.5027,106467.4432,60330.86477,28637.42021,239285.1615,52085.22272,35464.87801,169731.7571,96691.92234,63016.16533,208238.2243,166660.3622,47534.02259,20667.08789,294841.5687,101909.4665,42742.53119,174329.3982,209205.3242,168637.784,116973.1136,54436.41551,292722.8243,83351.19783,61754.36915,218573.4837,25012.61118,61778.04104,195430.5637,197222.9724,94067.36045,240852.1391,66078.99783,60252.39999
C8,281077.699,314885.5616,188623.6492,223308.9017,95082.23065,271865.3749,189405.2354,172001.0879,199980.5707,103163.2186,231758.0126,275372.7191,406415.6021,566399.2986,457339.4319,225860.2011,409401.6258,444984.0944,361111.9932,202986.3685,82833.12889,605752.0972,118269.509,148353.9454,543623.0585,83088.44113,427230.1329,204118.9371,177525.0478,240674.0246,392721.8471,234801.3369,220063.2201,355858.4361,133946.2554,687775.4969,145937.1881,227627.7684,659995.5134,123126.5149,328161.6911,227054.8377,55882.72583,267780.8761,164814.6821,311735.8078,652013.6426,100035.8284,340831.8198,114100.2341,289616.1817,134946.9463,419865.1166,263872.6597,111521.405,825388.1916,138833.9018
C9,7481.201064,438957.2963,6447.211251,6957.055612,8499.013511,65490.48678,590507.0192,7068.555536,7498.94653,9808.409373,528590.6935,536761.1537,316680.5489,732204.7587,73552.28031,587011.4276,277083.7587,7176.996702,8878.327177,8894.950483,8726.583654,9791.504032,9366.249502,25335.26949,66761.74985,7725.284795,11830.08825,435665.6618,11116.21677,7701.462949,385530.9986,26681.34402,10210.09419,45826.84599,471079.5402,7478.317114,20531.10189,353411.0641,220360.5645,6439.194298,450130.2032,359382.6601,530316.4602,58878.35268,5117.893734,407513.0035,105374.1923,7526.944265,92904.73952,7672.789485,7709.521048,384320.4495,504373.9122,21376.70522,384287.9597,40447.27491,8263.493604
C10,130584.5165,10416.67398,138070.8576,200224.1522,56228.72822,1209.31315,25441.80416,182588.0938,195215.2972,177215.0732,23715.29321,17812.22266,9204.897364,18308.66873,137618.3549,19544.53431,12416.66445,32817.63255,32455.10573,124652.7196,143806.1613,32570.40573,101031.207,1418.34892,97873.63248,69050.80651,174375.8771,14348.52937,163293.6807,93324.99334,22384.45553,1668.768092,42596.24078,1201.625448,14338.472,76136.01857,1711.708582,20847.2685,182418.5646,250739.0031,19317.79905,16119.76493,11812.90069,1888.015442,88872.121,13612.90041,172131.5459,135898.1389,7521.585745,11380.6325,151007.7615,12152.36662,16965.91983,2655.80338,20800.62002,161898.9967,155203.4511
C11,211457.6242,68859.50703,406248.053,243330.1925,742178.9788,442113.2358,14523.18088,171196.393,239650.0149,261476.0163,51341.33978,32871.18963,19084.01619,40444.06133,65892.17115,18078.36852,47934.10412,326367.9712,70690.51178,464114.9674,208267.7631,488129.0666,539175.2901,363145.5029,81283.89124,319809.1688,113907.7977,28840.83752,94443.10866,133170.3506,22309.55243,140286.7009,198305.7627,253486.938,18110.38668,175136.7308,58103.62738,21568.07428,47398.7407,187810.5674,87299.75476,30368.42679,6036.754534,189689.9176,350220.3224,197198.3761,196864.9399,188272.6751,200845.7563,237869.5161,408028.9688,30624.47021,52114.64172,138704.69,10999.93371,12392.85583,176294.6047
C12,253393.2173,7242.956684,229746.9244,381737.5897,386595.786,5370.975513,7678.975328,285899.6689,335422.2083,221757.4598,8082.200898,8730.631803,7345.793535,8276.659608,194029.5103,9601.621487,5427.008409,124885.3192,182627.9832,437953.9691,245012.7955,152128.7897,290320.4795,3370.677992,303424.9527,233723.173,257004.8287,6886.20863,329230.1299,195383.5788,9335.340537,7409.56197,304092.1222,4559.220536,5114.967764,92967.84829,1749.727304,5595.71643,357044.5496,467340.2285,6281.938752,4826.931509,6638.511099,4798.044665,216163.6564,5573.4039,450218.9647,387119.342,4670.282343,80059.27912,365905.9848,8578.435105,7092.151395,9359.919467,10105.83063,247067.3694,508438.7608
C13,5244994.715,514258.0766,5084368.078,5100763.814,5697703.068,610058.018,567716.0153,4602383.305,3880778.377,4305566.867,1080096.902,1224628.704,752220.9154,1164282.603,3442949.663,1136794.504,2154150.45,3256395.289,6423622.263,5605399.965,3647205.388,4725834.122,3039966.539,411522.3155,3604188.803,4884498.883,4786472.457,832990.6758,3462508.188,2412797.462,888594.6261,558909.9001,3311918.315,611716.3184,826806.229,5295850.343,320929.0845,805763.553,3328608.343,4923329.431,1501521.435,1385715.618,517470.4769,723119.2457,4141676.404,2840404.222,3280818.134,5098314.054,2150428.946,1922481.933,5202065.999,1219750.959,1406131.301,4504238.844,645779.3108,2162415.664,3443675.204
C14,1342.883174,1623.292433,191.9146359,565.9154875,894.025405,3986.483347,812.5049174,225.1671888,2054.767136,350.0469626,564.9016756,922.8278398,8134.81359,3704.466112,678.238289,37241.5065,583.793487,6616.756258,15210.3561,653.4021985,260.4488332,496.3927228,9568.45488,23086.55016,1707.438159,964.8343396,769.3240166,656.1097791,3365.483678,2581.980814,1002.739328,7690.048457,607.5701204,1588.912181,46650.35761,2058.371808,19378.68704,913.621016,2754.943109,1523.885839,547.3741007,334.9141216,42196.71241,2156.310799,2960.08921,491.0750708,2176.376034,18215.0187,340.066625,17309.66773,358.8701233,815.6715581,13916.52521,7363.733643,3286.576228,7064.040232,361.4776812
C15,777.3059559,318.9408138,938.8591728,505.0428265,1277.878406,206.3471998,210.0814962,2075.579734,580.5582546,929.5936918,279.6053829,256.6064026,251.3003516,215.3043174,10048.38884,340.4084259,250.2773194,428.3596756,301.0305737,485.1343193,1384.802278,1516.437997,1268.032938,273.5969461,8423.680546,2137.62285,815.5368407,239.876625,426.6069412,2454.709912,218.7891593,163.0209695,537.7016014,212.2064373,421.4188202,199.606791,685.4680906,228.0783507,834.9056191,451.6188963,214.4254025,210.3625388,371.0167119,222.8428572,2203.563761,279.1739309,8643.818883,1032.039946,252.4707653,679.1534704,624.2028411,266.3662535,228.8306646,195.5783861,195.3676768,2047.800222,934.3674294
C16,314480.3764,73312.67542,275870.5433,517610.7565,340654.0687,723613.0694,14276.68632,269432.7781,407716.0463,510862.5493,56707.97269,28561.0808,65375.90459,18877.2273,13784.03394,32397.24161,356839.4981,356725.5453,174970.8535,266424.7392,521220.549,288487.7522,675819.4737,979200.9205,29531.41181,430859.5604,121783.8264,60228.48174,228434.9783,413702.1119,73048.80253,366168.5269,337093.869,546916.2818,13743.00913,389332.4808,433119.7208,35235.30904,12642.65516,355112.6563,71072.90921,141018.2352,8092.867167,466296.5507,432583.5515,227297.7375,29427.89022,428534.042,827364.0083,191949.3615,359796.3598,27921.24509,31215.08119,577836.6829,18902.91666,33575.66802,349377.2995
C17,15711.7125,32295.06512,12500.82805,15431.75161,12246.76075,18428.82616,22407.64661,9900.090608,17287.35556,12888.96705,27051.90746,27736.80564,29467.54272,25259.08835,15153.1456,33635.40259,19441.2585,12894.4204,27399.74664,14540.35805,12725.06608,10547.03779,12402.21691,25369.24038,14639.9062,11023.38686,12084.81348,21014.24049,14473.07324,9273.536986,19939.7348,18806.40421,13733.70364,24828.39856,58312.4326,13051.32897,80684.81442,20687.24715,19970.38677,14582.02672,17613.06109,16440.36027,46613.55555,25960.66607,11341.46902,23387.90695,20868.83593,14103.69616,17140.57044,91818.88216,12811.18139,24540.21867,26239.11752,19317.6302,23966.91989,18942.4561,13543.11084
C18,10839.38116,27387.2735,8291.421332,10712.70583,8441.095713,11781.06979,17990.28719,4749.176683,12815.28328,9229.363966,22733.61704,24633.56181,28764.88305,18758.98311,14040.36814,32745.84517,16303.04817,8433.258934,24016.6861,11062.14786,8141.613732,7620.513949,8857.405294,17659.29732,13087.86872,7324.713967,9798.909589,20437.0239,13045.19747,6524.380728,20074.94272,15741.34426,11489.94072,19683.21802,56508.22787,11235.60105,82900.19584,21738.84721,20703.22685,11245.61266,16988.22373,15577.55298,49820.64282,22939.81954,6562.272645,18545.42801,16222.4133,9862.333851,13641.75347,74589.54225,9467.459421,21334.26318,23117.10826,12896.6374,21838.59994,17741.3734,9704.86373
C19,2621.068905,261171.7755,1244.640089,3751.593799,1597.941734,1463.260267,500555.6649,1677.202386,1422.771663,1584.282783,329542.8099,339658.0116,130758.5132,252003.0485,107751.7291,188674.3317,143922.4996,3544.109619,1947.821734,1586.803016,1128.898552,4494.313521,1169.441573,1061.87397,41875.92312,1342.342546,4636.237898,509546.9341,1857.548483,2178.263486,428187.7666,2397.580668,1410.788438,1759.204858,228439.1125,6499.543,1607.422923,376417.3915,104314.7359,1538.260119,352246.5514,539974.7937,245557.1987,1760.28546,1077.607431,233015.176,69157.50909,3786.467858,81940.69366,1721.899357,4927.297219,360013.9489,209181.9007,3329.750389,404872.5514,56222.64188,1968.622323
C20,4738.383505,226835.2404,3319.599591,2611.130537,3954.608884,29070.89952,276703.889,4609.877897,4365.461197,5260.040202,279064.9005,297441.3243,108793.7506,203988.5876,20358.61093,239771.1457,102149.1439,4537.764333,2877.083886,3184.647273,2944.094255,3120.836648,4392.21445,10568.78521,12582.51079,3786.748467,4648.392773,283778.8231,6420.564843,4575.384233,219056.9289,9833.315649,3676.629533,15327.17297,272674.5715,4479.382014,10475.45252,187803.797,49032.87608,3361.096238,182294.4616,243104.2636,207569.7229,17280.29539,2944.697261,224284.2767,32152.50969,4172.910937,56074.14252,2986.249799,5716.439604,222696.9137,213808.7282,9677.939647,181888.5944,18963.45986,6358.841534
C21,12418.12017,294.4665384,27030.85507,30684.36974,25216.41529,218.3566047,161.6416939,22258.78843,831.4640897,3642.608976,246.5205254,241.7514417,226.9968399,227.4372612,7101.342031,261.0533063,483.7435929,1239.208609,3861.672726,37460.46343,905.2820793,37516.64135,871.4469849,258.3527019,12858.2402,33119.25153,27448.2464,215.5803833,1025.232601,22554.21584,204.4821572,462.2500526,532.0644042,264.0897402,377.9113969,9489.697561,538.385558,292.5536537,6962.753792,25242.72019,330.3850628,389.9696091,304.634224,379.2609589,25812.83822,1511.92357,3096.768582,12006.70473,784.1117348,460.8586624,28516.35,244.6489919,257.3832376,2489.549374,198.7878707,2359.267557,1247.990731
C22,733.0001354,1152.289804,273.517059,463.8573501,556.0072738,2119.087508,704.6809585,321.039739,790.135169,466.2826978,700.9937336,703.6238812,6269.549116,2029.913966,575.1902369,301012.9564,786.217846,3436.457002,2970.117932,496.8156104,350.7355512,360.0204694,7244.612337,89669.47603,754.5544693,744.954117,540.6900472,491.8928861,1254.897308,822.2474732,815.9621534,7320.350295,426.5721242,1088.936435,31482.82147,729.225656,27417.14806,756.269991,995.6226228,669.9230766,497.4584479,420.5135209,101263.3261,1182.70017,1531.079868,660.5094964,1233.098624,28058.46378,333.9258817,16209.70634,540.3742427,786.8209465,49173.72556,6032.288591,3186.456538,4275.003612,414.3606098
C23,11200.38255,2860.208667,29220.64722,44261.91091,43063.957,1311.809796,2691.62158,14973.03424,24097.4447,37871.35685,1887.615317,2656.443606,3377.476826,3133.229446,39843.93916,3273.520609,1759.074153,11919.03394,24961.11061,21752.44083,30086.99982,3875.59755,45136.33833,1382.26093,24680.94609,10666.14967,28729.34941,2137.731629,33927.35211,36594.63029,2347.293832,1528.429955,46924.89785,1110.545182,2183.16731,3714.864804,941.9248053,3111.601207,12196.62681,10757.08001,2498.330357,2362.859431,2619.837916,1777.70521,20031.9823,2065.376441,51397.32783,4081.766957,2256.108747,7164.168438,17520.50543,2760.324936,3439.460013,2209.839657,2888.327523,24306.92335,50484.99567
C24,7645.197252,9787.466087,4088.522942,5724.52836,1428.175167,27298.77568,5387.366458,83506.8281,8024.114733,13752.58931,6281.679045,4611.607251,8889.707301,6009.724587,5828.912841,4019.456274,23249.89374,17104.64122,5476.345745,8055.155888,13766.79423,24331.82142,9642.554585,34815.8937,6050.824472,13860.46941,9101.479956,5255.908708,7161.446441,6289.036783,5660.117791,22112.13576,7601.24227,8284.240001,7066.061068,5412.032506,14221.0914,5512.959436,4015.460452,10731.34541,4076.16078,17986.35535,3293.076549,12737.85079,14369.53974,17936.15626,6231.073414,8610.63068,33915.04381,4458.954452,9033.051987,4376.817447,4918.037348,20167.06726,7569.318297,8396.005924,6293.6015
C25,6190253.062,11116533.99,6095315.553,6448068.19,5484689.803,6704216.539,8893173.069,5048775.436,7603436.172,5658393.486,9635163.602,10228778.23,12195258.95,8941513.002,7994984.298,10998552.89,7472941.483,7246461.042,9218971.482,7380613.816,6806742.116,5737074.994,6353072.511,6835261.192,7517206.991,6471624.305,6032148.683,6579325.962,7656828.441,4776512.531,8131095.637,7253446.119,7279285.127,9874995.416,22197609.45,7376260.57,10901700.07,8889102.276,10630202.95,6310934.164,7689029.009,7684257.681,20394991.19,9638157.265,5126991.333,9452414.198,10180264.93,5650859.457,7748751.931,24835145.02,6405100.791,10639338.31,9674900.909,8485642.749,8993480.594,10582640.02,7341161.903
C26,5476.789053,390.1372526,1520.572645,2810.314244,2198.908403,1492.51524,82.54472231,565.1598228,3733.205766,3336.249751,67.83125463,270.0213313,1800.500508,816.4987641,1666.257778,1729.713291,879.7684431,7847.473548,5198.514306,3043.913793,1609.139081,5119.078236,3702.947962,3328.933592,4214.772387,6324.454414,6315.906145,177.9004103,16293.53215,12810.99214,352.688997,5007.912246,5404.63404,2775.102828,368.2374834,6584.075458,6417.321653,279.1420998,8259.772052,3754.929343,241.0222309,70.68093077,641.6856891,2523.652518,5715.769057,158.2202354,2051.702823,1415.15116,55.02173084,8560.674086,3528.184354,174.2120176,423.9112327,2125.646395,221.012534,9905.568288,1647.03441
C27,363115.5994,6828.784971,461977.7043,396398.346,403137.7025,987599.7626,8191.364787,273714.7463,506354.8921,439283.4253,5528.422476,5881.975616,5123.158713,4052.713821,49870.12113,7386.038905,96700.57474,410289.1999,147581.6679,495411.6169,344221.0748,378151.0177,417732.5336,712321.5858,70559.70418,345083.989,421732.1276,2537.270729,369520.7057,244097.4045,2551.482206,953472.4335,463274.2232,1304193.401,9257.623186,520586.6159,335455.086,3822.458807,6740.52599,266587.4191,1980.964888,7122.708417,5968.142412,1298040.923,236728.2252,44259.05222,59679.19651,224270.4895,62716.00912,219328.1907,596493.1585,16176.59563,37255.35319,731463.701,11615.70149,96807.80333,442026.0531
C28,96668.58293,2820.215932,38369.30485,31915.09325,183488.5627,2128.943535,1824.71335,114004.3877,73064.74078,128598.1931,4272.338781,1003.006297,1555.69123,729.1575005,71760.97007,1354.541199,334.3434594,89131.85142,28265.97487,64150.5487,131276.3785,81578.17525,102781.9677,1598.587907,99135.38912,54334.65953,44516.1165,1174.690506,69747.1314,54590.19623,1829.639641,580.4506447,78944.66009,691.5849658,542.5813541,32582.77216,1764.376482,380.5636042,12537.53622,78000.92504,2085.850246,327.5627906,872.1030284,434.8135307,116725.9175,3501.388393,29257.28384,125667.6939,1447.256357,6126.106146,80818.59841,1518.050604,397.6316274,235.6378614,1178.957762,30380.4364,99169.19749
C29,203549.3693,313191.0201,181640.6846,187556.0761,150859.8889,235602.603,359286.7243,200015.2486,260389.2092,199566.2463,468680.7412,435580.3869,265546.7276,353612.7705,235875.2548,80937.95315,304853.9664,79916.77307,105270.0432,199844.4916,247067.1287,72492.2333,126573.0373,73142.9571,221170.7843,131464.3782,146578.5567,373621.0217,97513.22094,62022.52518,269221.6005,99966.06665,134592.4414,347918.3075,273102.724,144400.1587,158439.9112,234551.0755,282262.4385,196852.9871,245756.7664,284535.226,170931.2764,198178.8873,86052.35071,310418.009,330881.4563,80049.75891,313666.9687,199703.3943,166100.3275,297245.9731,166442.5957,308400.8974,218374.4627,163255.2092,245206.0672
C30,11236.76103,4033.488325,4939.274437,7884.360675,6274.841061,5762.926719,730.8965205,2855.363656,9744.390508,7973.498027,1156.160254,2861.845983,7287.385512,5259.816464,6370.355456,4248.987383,4856.861837,12632.56912,15640.42354,8032.483553,5461.781367,9241.500974,7350.178142,10966.97131,9855.954915,11126.63244,11164.90885,2016.465986,22617.79847,16596.99181,3092.634082,11271.22521,10912.66878,10195.22796,3032.674155,12143.55849,26650.06895,3044.788795,16434.63448,9278.05004,2345.572581,887.2372672,3649.807641,10723.45889,9359.431114,1738.198113,6998.75939,4816.910541,600.5063468,33999.63175,7783.310811,2388.618148,2104.769623,6542.926903,2232.411773,16998.55589,5772.41687
C31,452359.4243,2806.526093,350382.6943,578344.5903,235518.8645,466463.8248,2139.866493,853921.3036,675662.2265,1139427.326,5649.102144,1789.609586,1917.785345,1134.698511,1098.817534,831.2131338,1324.770087,816697.2447,673762.002,273243.0906,1481147.093,517797.7317,560055.3113,301768.9895,1933.749337,863864.6982,580095.4981,2887.342421,791415.3264,891097.5146,3029.208979,478157.3449,734876.5157,399196.6129,2729.867711,446376.9287,150176.8695,1639.016069,1026.555734,635715.8427,1356.877275,1797.117151,2294.801153,583684.9656,731868.5024,13048.04921,2469.487558,482847.151,8865.531823,93908.93334,328631.6391,5670.184017,1610.915473,1192158.104,3496.358467,2411.013595,524038.1791
C32,93818.56688,3439.677632,85119.66963,50321.61852,71397.5185,1608.889672,4805.018067,91381.1639,56074.72311,69610.68912,3136.275054,2516.337178,4065.565065,3228.679903,68168.75375,4109.275525,2596.769245,82047.86313,58804.37177,58942.02141,117594.8974,41200.8843,34255.37362,2139.687904,80182.68805,48312.86837,49703.53781,2691.784555,154622.4765,43991.73662,2458.648481,2073.509219,62910.93831,1276.147345,3237.272653,54450.07019,1553.969344,4893.873455,120057.7381,153291.6499,1861.499516,1949.138395,3677.53922,2367.448936,64242.10224,4110.451864,110744.1422,119517.0398,2879.110402,44454.84636,52607.7558,2766.459805,3925.134079,2267.609893,2964.328452,308675.0369,76012.54081
C33,24606.71591,22355.39661,12951.26331,9379.288995,6284.210945,21274.45373,34736.25937,18513.82559,13114.29601,6693.684374,22496.63006,30931.22723,30974.88179,49773.87609,27167.2521,16882.90366,42877.50252,37318.47293,21077.22499,16536.80756,7807.305748,64216.15863,10296.92333,16259.11106,59170.39683,5208.361393,20417.88563,34577.8007,4194.097081,14029.60583,72776.48763,25051.38515,13025.32874,29174.36924,18921.368,83743.58273,14263.19653,28798.46981,59381.99479,7119.358878,68773.20042,28954.63468,8803.112343,22086.98532,8164.912089,48414.47115,64455.56842,8068.574016,26592.53655,4921.564587,16497.72935,14485.46127,30752.36023,24610.2955,15058.5499,97685.13697,10328.79215
C34,8020.545388,12791.34615,4744.194323,6749.049699,8661.439213,7087.90813,8836.786098,127011.9161,7615.577915,22944.34337,9096.624016,12891.31175,10281.80525,9876.792987,5642.506648,10080.59537,9264.573227,8125.692036,4506.013399,8480.71954,12036.09842,8754.414873,12135.27354,11141.50912,9409.878577,9397.761914,5041.678233,13766.20052,6184.222879,12165.25024,9339.536086,6727.249639,10074.50789,6770.684925,11798.91886,7529.095331,3784.313221,12091.57173,8569.420082,11184.96886,13035.53176,16067.61674,7250.321739,9526.100757,33360.08377,18641.63472,10234.65984,6906.473124,5863.528074,5812.030124,4691.962185,11372.97773,9581.817519,7028.870266,14544.79674,13468.73861,11804.41856
C35,14483.64396,20877.14215,11390.52109,16726.36229,3058.525001,30221.26161,10385.40722,108252.3107,14621.86044,40331.34928,14327.28762,9742.375638,23753.08786,11779.15689,17160.67023,7646.078544,35902.12819,45001.40965,12573.96682,13554.2232,31233.48703,30051.83503,23575.42628,45696.71629,14916.43494,28526.98155,14500.45858,13178.35261,14950.52474,20678.65618,17028.61813,91508.69007,18352.64188,22213.79729,9457.383862,17365.71802,21969.63588,13139.14636,9010.088237,19259.98845,10267.66617,34154.58559,5413.916079,33574.47023,41793.93926,31754.72088,11074.43593,19082.67673,60661.88974,6270.282289,14487.5606,9688.566686,10063.91617,35613.19822,15685.80144,15871.33155,14471.05176
C36,66662.52281,85338.1625,102201.5747,85667.02885,68757.94813,237439.9012,72983.65862,76319.45149,97030.35821,82209.7737,70247.6331,77895.92122,158466.8999,216384.799,257338.9596,76376.25712,316015.6457,133193.1003,84224.30075,147608.0529,64215.05109,187546.8446,104127.8277,121297.5755,285685.9124,68330.29183,179738.5749,97769.63917,88253.85393,58951.92671,139484.0716,151204.0389,112605.6625,264304.7462,39844.40948,303897.4516,69115.55112,81209.0476,254847.847,88949.71406,150004.4488,148966.4946,42326.10526,140358.1729,54058.82476,183265.3517,337367.2318,41261.23949,210970.9112,85957.21685,155578.159,65720.01595,129856.2639,151145.4058,121717.8858,280856.7288,76988.72374
C37,2811.421401,37283.34233,3235.798001,3416.53729,4551.812339,69199.65465,18292.95829,1709.610351,4858.462939,4684.076259,23900.32174,23353.36181,21862.91213,14982.93703,1018.448757,17296.85234,57040.06916,9780.610114,3612.498042,4386.194588,2298.196839,5025.171299,5692.467916,83944.26221,1629.080197,3726.008123,3503.381854,25457.311,2799.145832,2499.763722,23616.7648,61158.76788,5923.976991,89171.03637,11681.35245,6873.229602,71067.87792,31102.59882,1051.074743,2899.934279,25496.80036,57104.41945,13878.11238,67211.08295,3956.758858,67043.14028,924.4170021,7896.609724,79859.82344,5398.287161,2816.78446,26034.02074,22093.00273,21467.31814,25403.05534,1562.161451,3521.127485
C38,510.7347558,7704.174535,15281.06943,4705.895526,476.0706879,4814.927611,4345.866165,130.6561292,1648.55867,317.7642676,4879.684373,4601.159819,3966.666316,5962.842153,1614.15014,15165.59263,1508.008713,20876.46265,8264.031184,11996.54521,215.3985887,60039.35731,527.1222146,12379.94351,536.6871203,2198.763687,672.433874,3365.085662,19286.72582,275.47548,4872.667857,6250.45565,106274.6419,4676.73009,26038.76379,1879.207535,14089.95534,7993.641732,2344.537852,13914.91345,3427.252273,3523.670689,20320.91819,6032.557447,30358.58577,3948.751424,4139.184988,278.4918767,1473.659986,53407.67911,711.0190519,3607.873218,11045.71662,2160.377814,4086.580385,613.1121492,137.4684671
C39,2698.37401,3512.483658,622.4707051,1361.414511,1785.324228,9261.585091,1670.594478,636.2766543,3760.026011,881.8388256,1162.446035,2077.740325,20281.20717,8475.586886,1514.788467,244076.5699,1545.971742,20310.22716,14889.61174,1631.87053,917.0594828,1837.844004,22873.7928,144421.6639,3282.981763,2213.523099,1678.548746,1299.240437,7941.314233,6615.48941,2419.264735,28512.18731,2236.681373,4153.611746,55535.45554,4197.518018,85968.41935,2091.806455,5250.190888,3037.090265,1433.54734,842.5127482,125485.4052,5189.666065,10644.42975,1418.661265,5665.145081,56608.58051,927.4774068,70892.26896,970.6294703,2168.558823,49511.87334,19242.74572,8974.967015,24443.22231,975.3363115
