,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,A3_Spco,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
C2042,1290.463616,7545.527714,637.2473853,820.6284693,966.7326101,9995.336634,5800.369944,838.1436009,338.7691481,820.1264637,7199.59899,5607.335756,5256.452467,8028.810588,1419.305133,6421.309605,7920.004841,1733.998915,945.7884618,1114.770677,769.2150118,1763.427385,1080.212281,7743.84153,1717.607795,946.0230336,1759.981814,7157.525741,1188.339252,1196.831775,4145.735565,6368.674992,1261.352953,10387.59717,6463.587564,1993.564778,1203.044003,13000.69171,2575.729587,1082.543057,11525.23622,10234.92497,3778.808643,3630.929043,673.6078618,14896.25897,2675.658524,2179.667546,8035.753996,739.6751377,1335.944685,7567.837315,9761.43357,3663.810387,4325.006089,3448.632539,1358.41769
C2043,1041.345139,337.4537429,1627.437379,1609.276124,6341.681927,1141.214284,193.0423756,1543.452841,1829.973903,4562.999483,371.928843,208.0524159,323.7760429,256.3298021,2639.487986,210.1867808,552.0984509,2388.259789,1368.892076,3628.536361,1209.671035,1001.675211,1524.576097,761.2897513,10521.39542,1947.408377,1801.619181,339.0008429,1265.500967,1679.124301,569.5618179,2670.723295,1772.958657,1030.157001,294.5940787,1394.664652,1032.46567,787.0412644,5672.906963,2641.939977,375.9368046,1038.289575,145.3581229,1086.393487,1845.488566,446.195723,1107.27582,1370.93114,326.4042958,369.9136,2846.553427,232.908786,323.1146779,23404.73785,266.8846956,3359.372397,675.1574403
C2044,10819.38837,2290.141439,13413.6005,16408.01276,17825.40678,376.6398353,4349.750686,15774.96672,3296.005762,3847.742714,5992.386222,3237.862294,3831.412502,4650.903343,14042.51735,8023.487312,9302.806115,2067.392493,10830.8819,15161.51846,2915.804808,13956.82531,2322.718415,484.7230212,16336.13415,13420.30492,21565.18043,4850.600617,3770.570862,8646.919112,5138.24992,748.8567576,2535.070794,558.6261151,2802.988913,8158.249296,579.2804112,4246.101188,18563.12174,14919.23032,5309.691955,9099.670918,3858.098129,904.653015,9103.300944,9376.695136,12860.85233,12239.33949,6133.065823,1675.260796,14480.20067,4741.263538,3249.45923,2909.333958,4463.411666,8151.149453,3175.488845
C2045,692.7509527,448.6999899,664.8715364,829.0218228,937.7832552,947.1654174,864.2470915,1116.20432,829.3423451,1255.659404,990.4406189,765.6117566,831.1662433,392.1374512,414.2889513,1070.183072,1078.090727,761.3031135,682.9843315,653.5447203,942.5217809,675.6865655,1327.813469,595.7802908,490.2122365,1056.470762,1163.764795,661.7319035,925.4408146,1145.75728,1152.734685,812.963262,840.7264603,21177.19083,489.3358647,691.2314787,55096.80076,861.848835,470.6759847,1130.203304,538.3463734,1292.350159,567.7397893,22219.61062,662.1066121,924.2580419,431.4255625,923.7880372,844.9872212,1012.57869,808.1516744,624.323123,383.9643476,2038.423368,532.2803692,1807.383213,956.0899694
C2046,1722.533336,583.7911559,1941.006144,1210.283698,2471.347805,2165.930329,474.569845,1762.871442,2015.954123,2771.315419,344.2698045,387.0870101,1312.671325,422.3640385,690.4024787,362.9215268,1628.392169,1076.900583,946.5387565,1372.96306,1594.58409,999.615448,1501.202562,1360.823221,1770.461727,1685.91388,1584.221573,266.4835456,1463.43722,1822.986489,407.9940263,1860.84713,1304.106646,1444.42347,229.7623169,816.8404549,453.9252354,871.0897554,758.4143095,2516.483682,792.2242671,732.2365031,582.39586,1293.568694,1010.429399,774.4332552,2106.429796,2163.160798,3970.930312,784.0194821,2998.779635,616.2258193,763.6992185,1806.506969,455.8144398,2646.593642,2726.761054
C2047,3436.877626,4442.160276,6101.919583,6561.532475,211.8752006,8514.776909,2944.513857,6618.291838,9371.897439,7716.079345,7791.608944,9344.910661,7156.512014,7006.80932,5676.118602,3429.344222,7109.031666,11271.26976,3124.278003,4736.440907,6342.032963,17689.76913,4539.869426,3727.677948,5656.708197,8373.967443,9341.919673,4967.367064,11703.59642,4274.645088,3915.660799,13211.86337,5453.737125,10673.89853,2882.890583,9903.522284,3148.670841,6097.752005,3561.661129,10215.69412,7159.240032,9301.58418,2406.230913,12594.13044,6621.763025,9423.436787,8059.409637,4161.058252,4878.56375,4487.384797,8703.932979,4190.57536,9295.596531,17788.80715,2876.970105,5643.528141,7814.419298
C2048,10488.22975,7022.570588,17772.39446,36439.46701,15312.055,36250.51966,4452.612197,30437.36301,65910.02867,129631.9293,9445.129397,5263.120965,14751.96937,4378.971838,8206.954983,5360.028763,40691.02912,58588.99174,19298.8661,27772.97809,64839.52236,42164.66331,66065.74189,23893.70666,11551.30759,57071.78318,55561.47619,7741.512055,41676.91463,21661.13002,8090.878893,17589.77612,69846.33481,20211.85561,4259.018977,68333.75448,16937.22883,6356.247504,4240.589466,29787.43178,11631.69573,10848.69094,3268.662044,17895.07731,38951.62531,13896.87588,5638.825753,17632.94353,41490.95334,14101.46888,30753.18344,5289.013386,3509.445047,17384.45801,2795.216067,8034.139119,14682.995
C2049,2907.99039,4650.068677,2536.137704,3702.8661,1811.835784,3359.922624,9317.359998,3923.709569,3460.162304,3680.396335,5951.086451,4442.804124,4095.29199,5624.84494,4210.258509,5112.002804,4245.250443,3341.685168,3429.833645,4085.916967,2583.466137,3944.570279,2058.769195,2436.218829,3993.623709,3140.632319,5944.825776,8919.790136,2946.776855,3389.637035,7990.489724,2792.688264,4959.638127,3869.571737,4014.240378,5623.726068,5254.465716,8393.11941,3588.109284,3242.310167,7710.767733,11735.6044,4933.749267,3182.470204,2520.766867,6746.34451,3570.306123,3535.377353,5508.465801,4676.120382,3239.74022,7215.590331,4173.326055,3558.194763,7984.645108,7776.215803,3711.677766
C2050,2869.898337,57184.58347,3162.353077,2706.775488,2780.183023,16262.57545,51537.32325,1636.225847,3449.312926,3070.454833,31003.20565,42164.84167,47063.73164,60622.77912,22069.25539,65947.56584,44758.62709,4526.913909,4001.076186,5376.195213,1507.442445,3411.617636,3736.950559,5031.713056,18313.57712,2798.468879,6736.908105,63907.47499,3432.027338,1831.310238,64882.04896,5522.578667,4500.389813,11964.33111,84824.29416,4311.806997,8851.957825,52333.20832,46835.8084,2824.069354,58512.51214,92660.98271,110468.558,11105.47055,2314.878161,40532.90273,17548.23986,3402.195282,31232.02123,3772.73939,3854.625821,64231.98424,54234.648,6061.712882,98257.93383,9018.099272,2515.365866
C2051,601.8090066,13606.6178,335.4184192,353.1404615,332.4161451,4460.103567,9002.612517,513.2133017,396.7133179,344.3513194,22656.7872,26183.91303,11991.34353,2405.94357,433.8506329,6141.482014,7378.638481,329.6279337,531.0205516,214.7441715,313.6131595,277.6239111,275.0104275,2279.440773,316.3230527,414.2847698,5710.629049,2154.420876,389.0108573,515.6007041,26905.35486,31047.19001,443.0390395,6889.568682,6211.400001,255.4543462,1236.862088,8704.470397,1096.758075,429.8148991,6245.8656,12534.23797,4381.867644,8446.827527,221.960022,4224.101082,790.6997893,591.1450966,1843.935793,463.4789075,513.5914011,7947.126142,2650.14802,1132.135949,3090.48601,876.4282228,522.8091693
