modulenumber,X,B10_Spco,D28_Bogr,B13_Spco,C19_Spco,D30_Spco,C21_Bogr,B10_Bogr,B9_Spco,C22_Spco,B14_Spco,C17_Bogr,A7_Bogr,F43_Bogr,A8_Bogr,C18_Spco,C22_Bogr,F41_Bogr,A7_Spco,D28_Spco,F41_Spco,A8_Spco,B11_Spco,D25_Spco,D31_Bogr,C20_Spco,B12_Spco,A1_Spco,B12_Bogr,A4_Spco,B16_Spco,B16_Bogr,A1_Bogr,D26_Spco,A3_Bogr,A5_Bogr,A5_Spco,F44_Bogr,D32_Bogr,F42_Spco,C17_Spco,A2_Bogr,C24_Bogr,A4_Bogr,B9_Bogr,F43_Spco,C23_Bogr,D31_Spco,C21_Spco,D25_Bogr,B15_Spco,B11_Bogr,B13_Bogr,C20_Bogr,D27_Bogr,A2_Spco,A6_Spco
16,C1880,10.26996099,9.707879056,7.959236006,7.795621278,8.063596773,10.52931875,8.294549292,8.156303379,7.68142733,9.546833098,8.674434801,8.10720378,9.294203872,8.304479414,11.28895634,10.26990309,9.46359694,8.730156008,7.747723674,8.663967502,10.35357198,10.18391184,8.865395767,7.809346058,7.679035168,9.661039686,10.02623053,9.425857432,8.64110991,7.723507412,7.91408703,7.483060949,7.298187415,10.59351992,7.949755204,10.51141888,8.712798732,10.37055106,8.62931546,9.63055389,8.339517655,9.140785445,7.806675316,8.841658121,7.787351514,7.695296338,7.559446507,9.0913906,9.627475246,8.694529226,10.40277925,8.484572669,8.185642643,8.665866236,10.16060322,10.48436813
16,C948,8.701345692,10.54050216,9.806421036,9.185483482,9.072849347,9.564244112,9.306052442,9.056411211,9.969817575,9.356570455,10.43272811,9.784543251,9.129942631,9.92388276,8.774396169,9.239066829,8.863755212,10.4805695,9.821744028,9.865974544,9.073251134,9.76780091,10.3792048,9.653216624,10.06708927,10.63959048,8.89602559,9.536198221,9.924532701,9.372026582,8.709906857,10.33694732,11.15942566,9.891504269,8.851004336,9.155358882,8.725218856,9.488678921,9.086505079,9.465530956,9.408106687,9.693810572,10.33153341,10.18540896,9.864271057,9.852231215,10.71701731,8.845807647,10.02957913,9.219262688,9.847950314,10.15154898,8.755047385,8.246634002,9.621866574,9.795924388
16,C573,7.517917321,7.419912743,7.658159616,7.650082811,7.818259194,7.472120233,7.381770714,7.860309085,8.179708247,7.442246687,7.867249005,7.686620996,7.69398732,8.17005311,7.221849465,8.357252944,7.702090625,7.418063534,7.709360587,7.813535462,7.742803336,7.178936986,7.548014765,7.302678666,7.193050268,7.369284498,7.396503158,7.42139942,7.570423292,7.233897716,7.472082168,7.474869387,7.579406453,7.779419701,7.531943456,7.373770622,6.950117179,7.496250021,7.38433036,7.9374652,7.413137193,7.416889158,7.813798873,7.317976843,7.227787539,7.784134225,7.41352241,7.979370872,7.562738767,7.71668779,7.551406921,7.282129129,7.820150906,7.44650811,7.002744679,7.590259317
16,C2316,8.52463173,8.601838072,8.782420467,8.542260476,8.654221502,8.613550983,8.316125537,9.373182687,8.034689838,8.269833017,8.145423586,8.389884947,9.025873282,8.762772699,8.944684848,8.598817107,8.590255312,8.278923369,9.299099307,8.30495118,8.600211974,9.43845705,8.148611288,8.36079627,8.078992782,8.375660839,7.608639843,8.107586984,8.731494548,8.775420943,9.421631791,9.659534343,8.729549828,7.942434689,8.187585069,7.836649636,8.189989835,8.968057086,8.438161765,8.855709041,8.234302025,7.979932031,8.792413055,8.511095899,8.176395203,7.785210051,8.470212149,8.628531752,8.234325161,8.670361416,8.859444317,9.022944224,9.314461377,8.732860333,8.270293931,8.618402465
16,C2001,9.887023797,10.14747939,10.06152196,9.880538845,9.837532539,10.37757126,9.811577885,9.90928428,10.01612085,9.694038355,9.759968888,9.965452045,10.45558393,10.20265268,9.481797107,10.34567467,9.884720236,9.131065616,8.896998664,9.841058165,9.637399611,9.090522189,9.837849782,9.892510912,9.554084808,9.619936629,9.428538094,9.523576725,9.872342923,9.789131892,9.361455613,9.890732028,10.13127479,9.641924597,9.469128271,8.89237077,8.871652038,9.428215927,9.379459963,10.40481142,9.634576067,8.732568389,9.634255291,10.3759041,9.637108454,9.68831905,9.841309215,9.999748352,9.821318077,9.737665825,8.507199215,10.37620279,8.755578151,9.961834577,9.834483607,9.972550548
16,C1739,7.083739434,7.286202733,6.980171783,7.238580819,7.269664611,7.88443895,7.2585441,7.084510937,6.954355307,7.090596767,7.663223939,7.061872154,7.585490556,6.999539937,6.982835992,6.987794039,7.281077997,7.063761576,7.200573609,7.717113617,6.982728349,7.023978194,7.158707455,6.751135834,6.838568698,6.872764109,7.442798819,7.299436902,7.253425366,6.773650865,7.140528794,7.405028513,7.475805513,7.345700535,6.718347218,6.96168484,6.259217468,7.264099817,7.660831746,7.275589509,7.278783177,6.719566581,7.199752572,7.078555801,7.14145834,6.91044105,7.318929167,7.72457887,6.444786959,6.960958611,7.28904237,7.088815876,7.389080349,7.594053261,6.954045594,7.602260209
16,C1885,9.659971013,9.907419915,10.25904191,10.22513959,9.298073399,9.786122047,8.93560566,9.873437085,9.89003404,9.841128452,9.31654342,9.193122453,9.794726745,9.209952902,9.751992746,9.210276323,9.910001236,9.702214529,9.794351355,8.906237043,9.019642439,9.663123557,9.465291451,8.350826316,9.267466933,10.29452545,9.192510479,9.180018447,9.518131914,9.110527855,9.320864283,10.12862069,7.573430364,9.206565129,8.63193709,9.233107099,8.946342326,9.910414205,8.734987429,10.25983421,10.15197875,9.73570573,7.873974901,10.66037848,9.178206421,10.26401617,9.707765884,10.00885078,10.93193615,9.78433409,9.672290823,10.17242866,10.25524573,9.584289496,9.951118541,9.651776631
16,C2431,8.353312667,8.806589186,6.317935223,8.530059811,7.636582806,8.292079093,8.609510232,7.126888514,8.982714822,8.643761425,8.978390027,7.334716151,8.607560533,6.88646416,7.822901057,7.031021728,6.856261467,7.013440008,7.777386813,7.714590198,8.90011217,8.510065683,8.17198639,8.614785988,8.916254844,8.22626655,8.647247992,8.578593382,8.163367886,8.892142086,8.400989219,6.899277612,7.897301782,8.526270524,8.962864308,7.811045465,8.976031714,7.661752349,7.541790139,7.929487209,8.353581133,7.356860851,8.170472073,6.509881553,7.900058363,8.900191643,7.511979141,7.254442838,8.112956841,6.989191849,8.152633134,7.250944179,7.040647748,7.851652095,8.323133984,8.155415968
16,C56,12.26133525,12.77052986,11.61444388,11.18826124,11.51950167,11.31361805,11.54445659,11.51333822,11.25093173,11.1819162,11.79817799,11.78345604,11.44773204,11.64991968,11.4026984,11.58755039,11.80157306,11.74024298,11.84863363,12.76416199,11.46050822,11.56764118,12.47700048,11.38883498,9.888583705,11.80766828,12.45551364,11.22859596,11.50541337,11.60070888,11.7377163,11.62034962,11.7049831,12.67888332,11.04734856,11.84734963,10.63506084,11.3929106,11.42500178,12.5785246,11.7094835,12.7181752,10.77845836,11.57397593,10.54645636,11.93977335,11.67538091,10.91816554,12.41123792,11.7550152,11.16422268,11.09756083,10.45972963,11.51962768,12.29630057,10.93043649
16,C1631,8.401972148,8.867911582,9.204713211,8.770086502,9.199559553,8.987973201,9.128572881,9.352197001,9.552173137,9.201600857,9.386639972,9.867242771,8.769514536,10.08044109,9.095715461,9.709521833,9.692681134,9.159176527,8.944026938,9.074418364,9.46213501,9.391368735,9.299409448,8.459777693,9.412523983,9.42347305,9.474424656,9.036362742,10.00723373,9.007829634,9.543980082,9.030902414,9.164615553,10.49400818,9.241068699,9.325905865,8.595562302,8.577440443,9.060626256,9.502196751,9.614505667,9.161488795,9.003952452,9.027033113,8.731319174,9.240019467,9.178457632,8.723413649,9.542593011,8.939029802,8.544407988,8.682010159,9.663139919,8.453732228,9.566021969,9.000096888
16,C1526,9.209464858,9.972661554,9.566457065,9.122075171,10.66775576,9.975135613,8.928570859,8.604015353,9.533325377,8.852952909,9.513171229,9.516294903,8.267275681,8.945907832,9.177159309,8.561447187,9.117351637,9.074507913,8.683578647,9.633468898,8.695693936,9.711816894,9.680650619,9.414937563,8.791156447,8.938403401,9.466032369,9.287000727,8.772201808,8.510782812,9.24382637,9.036532164,8.990470239,9.444589645,8.320431729,8.917510038,8.367328212,8.817250876,8.663597115,8.640559979,9.708310008,9.349036643,8.216960683,8.939549921,8.723516006,10.13249369,9.855292495,9.49569528,9.681076072,10.0376937,9.314713835,9.421046871,9.021962445,8.658355198,8.563308037,8.950762789
16,C1374,8.596481912,9.766983525,9.105460486,9.095894963,9.690086694,8.878424842,9.63043193,9.550363994,9.868222208,8.786044073,9.081392762,9.085104624,10.02681177,9.414544853,7.851866185,8.201385021,8.523201539,9.257054976,9.329419797,9.430651537,9.175851655,9.485754249,8.286670118,7.807408533,8.480330476,9.04017557,9.102101686,9.052100464,8.422517465,8.213702361,9.26911933,10.1293186,9.061933511,9.306538497,7.959372975,9.332187973,7.3225454,9.362171273,8.063231147,9.319143863,9.443915834,8.733414354,8.145666798,9.487783359,8.857248221,8.089002523,8.919292229,9.309706937,8.880164977,9.055102355,9.893744041,9.886772446,8.127844627,10.04195031,8.760487986,10.04152464
16,C224,11.58827569,11.26519919,11.40977139,12.27438512,11.95994148,13.06194374,11.42527209,11.38445364,11.51319412,12.01727823,11.56040493,12.06891817,12.7701668,12.59047207,11.1001925,11.81432137,13.34013183,11.93520974,10.81492598,11.65854364,12.0303599,11.92611772,12.11607213,11.87788682,12.80547578,11.78922868,11.07959412,10.80950721,10.80673725,11.48928788,10.82849278,11.85885787,11.0755534,12.20401201,11.38021319,11.90090765,8.491753677,10.70282497,11.77601377,11.67137215,11.10508483,10.85230435,11.12437826,12.3446677,11.44539694,12.89302149,11.53926543,11.71198838,13.74585078,12.22738387,11.29429587,11.58198679,10.98882139,10.96973589,11.3716663,11.46381576
16,C1899,7.697442057,8.450272809,7.786421859,7.944438077,7.507234985,7.826791169,7.609243041,7.582631427,8.170311953,7.130884052,7.638684035,7.888919636,7.774006751,7.77442616,8.700490178,7.217027501,6.794011843,7.229081011,8.449306388,7.740953463,7.237359875,7.164371464,6.993696862,8.615477791,8.332652674,7.924863735,7.454163051,7.430859972,8.000055655,7.440516008,7.57138753,7.666079516,7.854707208,7.423687348,7.397068981,6.783762134,8.585277182,7.41418677,7.46194962,7.617816523,7.850088687,6.643125319,7.615157263,8.291284296,7.995441643,7.556662539,8.37989495,7.578361122,7.552078857,7.426495477,7.745175879,7.76503378,7.612431401,7.785914308,8.169943217,7.537699142
