,nitrogen,block,plot,spp,batch,BOGR_cover,SPCO_cover,ELEL_cover,total_bio,grass_bio,forb_bio,photo,cond,Ci,iWUE,PC1,PC2,PC1_old,PC2_old,M10,M16
C17_Bogr,5,C,17,Bogr,other,3,2,14,9.1,8.38,0.72,14.8,0.0909,94.9,162.8162816,32.01071607,-8.302329756,35.75564864,-6.86492657,-0.02269168,-0.01609208
C17_Spco,5,C,17,Spco,normal,3,2,14,9.1,8.38,0.72,3.378320739,0.052863204,241.2602548,63.90684793,-33.43223545,-9.277855625,-38.35710145,-7.354744307,-0.13527785,-0.091022235
C18_Spco,20,C,18,Spco,other,1,3,15,10.68,9.59,1.09,8.01,0.145,257,55.24137931,-28.43350624,15.4150005,-31.99492667,17.42763245,0.184143254,0.074022859
C19_Spco,10,C,19,Spco,normal,1,0.1,12,13.94,13.035,0.905,2.172638471,0.036277543,249.0556425,59.88935003,-33.66765319,-4.409322491,-37.63824537,-1.974525832,-0.138239908,-0.092065276
C20_Spco,30,C,20,Spco,other,1,1,89,14.25,13.935,0.315,1.66,0.0241,238,68.87966805,22.58542643,0.788649138,-36.04966067,19.51924544,0.216410267,0.105093481
C20_Bogr,30,C,20,Bogr,normal,1,1,89,14.25,13.935,0.315,18.5964496,0.104570301,65.40511483,177.8368181,-31.49184762,24.97475386,26.6083986,7.128498573,0.17294692,0.529643135
C21_Bogr,0,C,21,Bogr,normal,6,1,12,11.165,10.655,0.51,9.74,0.0653,134,149.1577335,36.6158106,21.66948513,41.1525751,8.579989703,0.237474658,-0.106827646
C21_Spco,0,C,21,Spco,normal,6,1,12,11.165,10.655,0.51,9.617103912,0.109330935,226.8715039,87.96324583,-28.93346015,-10.24586066,-34.89543608,-10.15241614,-0.2031622,0.053842903
C22_Spco,2.5,C,22,Spco,normal,3,1,15,15.8,11.82,3.98,15.2,0.185,232,82.16216216,28.40621689,-15.11050453,-29.73333014,-8.791963148,0.012019522,-0.031921953
C22_Bogr,2.5,C,22,Bogr,other,3,1,15,15.8,11.82,3.98,14.93459318,0.100836745,127.4870168,148.1066568,-25.59524904,0.042793397,32.10325835,-4.593806196,-0.069653335,-0.206650488
C23_Bogr,7.5,C,23,Bogr,other,1,2,18,11.87,9.26,2.61,19.4,0.168,178,115.4761905,34.42519168,27.18966447,31.86691618,20.75197358,0.101389076,0.160204194
