"","labels2colors(net$colors)","X","B10_Spco","D28_Bogr","B13_Spco","C19_Spco","D30_Spco","C21_Bogr","B10_Bogr","B9_Spco","C22_Spco","B14_Spco","C17_Bogr","A7_Bogr","F43_Bogr","A8_Bogr","C18_Spco","C22_Bogr","F41_Bogr","A7_Spco","D28_Spco","F41_Spco","A8_Spco","B11_Spco","D25_Spco","D31_Bogr","C20_Spco","B12_Spco","A1_Spco","B12_Bogr","A4_Spco","B16_Spco","B16_Bogr","A1_Bogr","D26_Spco","A3_Bogr","A5_Bogr","A5_Spco","F44_Bogr","D32_Bogr","F42_Spco","C17_Spco","A2_Bogr","C24_Bogr","A4_Bogr","B9_Bogr","F43_Spco","C23_Bogr","D31_Spco","C21_Spco","D25_Bogr","B15_Spco","B11_Bogr","B13_Bogr","C20_Bogr","D27_Bogr","A2_Spco","A6_Spco"
"1","turquoise","C1",13.675392276713,14.3797530237434,13.6333959509147,13.6994926542206,13.6784784022988,14.2738663266244,13.8701502059352,13.727974286005,14.1692541094674,13.9476771091163,14.2981155844584,14.1686181399022,14.527161680722,14.0962192850063,13.6630494463797,14.1953214225922,15.0338543132185,13.9633695928371,14.1308845303999,13.9915486383362,14.0117702033977,13.498652272645,14.0720473262807,14.569405256318,14.1005349938031,13.9383061625686,13.7540687726669,14.4331536277276,14.019907710009,13.6899599423924,14.4731305625975,14.2913595876449,14.1900426611401,14.481937963628,13.9716469018842,14.116496793505,15.0194295704435,14.3137294428572,13.9053528448633,14.113668156251,14.5155638934724,14.6082530374882,13.9043490952647,14.5582987049445,13.76462041167,14.7664223659851,14.063487160725,13.926782797199,14.9160666228174,13.4155219377835,14.0847929308549,14.3224012933953,14.2564503716923,14.0636481787865,14.0906247834464,13.8499019595106
"2","turquoise","C2",12.7132093084392,8.45817701436751,12.4558165658755,12.7709193605656,12.6462452935627,7.99674678632633,8.26463530844403,12.4799292588697,12.8835136683586,12.5504345141361,8.75042731523203,7.81460347375031,8.88626246056843,8.31842670674142,12.2398252576345,8.80624613811639,8.04922119331088,11.9860540558084,11.1961956169485,12.4207114001711,12.568610124032,11.5676266095844,12.7593574225564,7.77868041479407,11.7424011452514,12.4430787919307,12.3514244632268,7.99368499249907,12.7622887367544,12.3139746625357,8.47998613147059,8.09539657698902,12.6074995129087,8.41319677650535,7.5614373881879,11.4169858295803,7.47364832989832,8.50957340638516,12.323637948525,12.8442615055338,7.80689618900574,8.32409133380511,8.14072005941144,8.25586426274363,12.4078339349421,7.75615508512395,11.9959122512592,12.6606593038457,8.39803086227164,12.3220764726667,8.54584958585182,8.28387086567273,8.79488685655145,8.57484806566181,12.4281687680771,12.8811595181137
"3","turquoise","C3",10.4542351085438,6.89314310831396,9.68117490092913,9.91731706497249,11.0723214335267,7.7713975847977,7.06787934684558,10.7249054762051,10.4903697874536,11.5167464915413,7.90361110070795,6.85133724411665,7.17685509328041,6.23880458858379,11.2477129859696,7.72536189293458,6.64736499393428,10.7479490740287,9.22927236940375,10.3029356822148,11.2278461453501,10.7840423387796,10.4125826618253,7.25636932177866,11.3305918180245,10.3403257649114,10.0130618708941,6.52728221175744,10.6069890400132,10.5773978643084,6.98108926474095,6.38174147046511,10.6408773949373,7.37069008095908,5.94855386001583,9.05504535577908,7.15206316534168,5.97524272871149,9.76924955852534,10.1329154829099,6.6441699507055,5.86610992649671,6.24570910883598,6.07385381967412,10.924622100702,7.64020919052627,10.9395837872699,10.3378738531835,7.03931922057044,10.5991429631056,7.12445998261691,6.08947447873938,6.0439535775057,6.80348493405088,10.4808308770457,10.4864453999424
"4","turquoise","C4",13.7517074529553,14.0958829941582,13.7544238442123,13.9039543617073,13.8726376333132,14.3033404504072,13.7540216935552,13.6892900255844,14.1110952086284,13.9698195072663,14.102446731353,14.0341359593394,14.3009786832678,14.1431336785867,13.8691877985741,14.0347829226687,14.5879039657489,14.0740608098624,14.0795975169719,14.0679857812619,14.1006165411455,13.6955210058399,14.1205419146964,14.4665033411244,14.2821852490748,13.8851725619321,13.7106271044942,14.204125418206,14.0320561038343,13.4432512741546,14.1076841530946,14.1602004625858,14.1221946343577,14.4467171209776,13.810120321337,13.9882304282466,14.4862664558791,14.1515655333538,14.0544347520485,14.0119076948603,14.3129147649252,14.3233299151046,13.8040779866499,14.48452100408,13.6550256309508,14.5072979345772,14.1697979059738,13.7420288380122,14.5412457517161,13.7517922105789,14.0124426956862,14.2469952666869,13.9797606737939,13.8457878172181,14.0110762614346,13.938021323827
"5","black","C5",10.3316980596198,10.425300368481,10.328934778367,10.2788371226208,9.94277512258905,10.410066269446,10.6878474305729,10.5483054154706,10.5886287362075,10.371293873843,10.9055369498248,10.8029496058913,10.0415454317569,10.4730669306257,10.1014154913448,7.83810699551472,10.3902417586739,8.88542201061559,9.01961685128961,10.3285850979688,10.6800270765475,9.02840904043445,9.60623378858492,8.66901550092046,9.90837715072165,9.65159243282944,9.86635450070071,10.6023808579353,9.02000415054946,8.73959092563801,10.1068536247262,9.2840186604005,9.72253436010449,10.8001620098014,9.71207242688405,9.83674880146693,9.54380474522271,10.0755614790011,10.0869921109184,10.3222966611344,10.2164416143116,10.3193160881574,9.37537986263913,10.2118341579426,9.03258207816255,10.4106713212851,8.45176660661785,8.63515111862265,10.4810719026928,10.0925697876889,10.3818944040828,9.45388814466182,10.7154128392833,10.0011644813073,9.45032693543347,10.6461000005225
"6","cyan","C6",9.27145534978376,8.3572991131853,8.26404554682064,9.64548304873566,7.96461217480205,8.28448480859444,9.2661821517408,8.44561355055293,9.18255209252972,8.0334126769653,8.72018933839273,8.89548843602579,8.38960555160381,8.96237932299559,8.42568741118126,8.66382203304976,8.49292115242569,9.79207763553527,9.83690744851908,8.85962888125142,7.85938551415715,9.94087601988254,6.80846232847553,7.1325959357978,7.94210176019993,8.34253033448586,11.4985653657167,8.833756070672,9.09683308800139,9.0515899619746,9.04121981510227,7.91887209823406,9.10903838411909,7.52911814291628,8.41356998920548,10.290688074636,7.65875426842811,9.06554024335538,8.58851842465227,8.56765063937146,9.04787401858226,9.31366012327531,8.84509632380375,8.19747565375554,7.72079618080027,8.43940587727219,7.96681716294662,8.67739646244527,7.44142041808159,9.5201469131336,9.12689475278034,8.3492794417646,8.56677835168299,9.27170349044485,7.55255792583762,9.11687371424034
"7","turquoise","C7",10.828546158417,12.3600572323618,10.7096946041508,10.856348215227,10.9083552011362,11.5140015957338,10.9946302220321,10.2408519635514,11.0246473051767,10.6575625395356,11.8760620389935,11.3219523998275,12.0579213679002,11.6232155345141,10.3495081188706,11.6607904562753,10.8731986164221,10.6818378024784,10.5276691332908,11.4898891495296,10.5455232345511,10.7408857464546,11.2138019394763,11.523702213652,10.8723213950023,11.0075991053284,10.262469540551,11.6898765769344,10.8606365544966,10.476298133901,11.2470577786151,11.4792851447568,11.0511465649991,12.2464380124519,11.209025395333,10.76920099868,9.93629775692561,11.9545515103771,10.8168535640141,10.6629497500957,11.2883814014058,11.5121316839348,11.2388605642713,11.6696993890816,10.9047886116513,11.9268058542828,10.5320520013091,11.0309200074528,11.549062073016,11.0313032573263,11.4146249665288,11.4224782807523,11.4517664051485,11.6907100179677,10.2526570778204,11.0062976844185
"8","pink","C8",12.5463864189911,12.2588216407432,12.1475090347456,12.3163113013418,11.4624973819688,12.5130622775317,11.7370934463737,12.0552560807756,12.2059754943111,11.5440676595861,11.9442692392681,12.1213239403436,12.5202529128014,12.8603944996588,12.6315159185203,11.9176027387239,12.5291553836527,13.0057938175882,12.7969434196744,12.2208941055229,11.3245833677189,13.3142261008271,11.6807212737188,11.9073562205793,12.8042055253958,11.3276608752603,12.9650780999552,11.8154406834449,12.0868669923081,12.3911987018697,12.4860360259992,12.3664950607018,12.3016701481443,12.7822882793454,11.3820548145712,13.4412177510186,11.8909315896268,11.9272250413147,13.0031213674254,11.720967682155,12.302333397543,11.9241754969884,10.4865441308643,12.4979242985616,12.0125769829018,12.2485124557129,12.9997262551257,11.5132836848018,12.3395523030994,12.5763118139686,11.3899200164278,12.5536390841308,12.4832219161392,11.195098132348,13.2369769364497,11.8410335465104
"9","turquoise","C9",8.92014862813201,10.6429836051738,8.77140295210743,8.84751161956713,9.0477053782138,11.089660171075,10.8355988507121,8.86341142910582,8.92251782699193,9.19099539598767,10.7579215114459,10.742856878553,10.5035497191583,10.9423872965102,8.99084233034301,10.8326509615686,10.3011462611832,8.87863628790649,9.09136843727182,9.09323903324914,9.07412923822189,9.18927035314254,9.14486802850889,10.1399527549168,8.98344026147838,8.95225396775305,9.37840141679245,10.5258439186705,9.31616029139194,8.94916558317194,10.5105049604093,10.191719874323,9.2311321363855,10.7326253553663,10.700729938738,8.9197630608963,9.92969618075972,10.4219528129221,9.57633865361466,8.7701587022654,10.542060769825,10.4756332268525,10.668817928969,10.9832287754299,8.54049825331543,10.6060784617278,9.12865498531796,8.92624443033062,9.91735215762301,8.95021134374582,10.5769849682809,10.7346369818935,9.97005706699726,10.5089015178772,8.69393149741507,9.01960273157441
"10","turquoise","C10",11.7797759321345,7.69682693773825,11.835522293233,12.2071927789464,10.9371830835665,7.09780783279148,8.78512637032131,12.1149880412932,12.1818583166939,12.0851193767409,8.69801148838257,8.34854431582929,7.54833482949318,8.38543101666593,10.1325112483112,8.4647836048451,7.90145624090451,10.398721227673,10.3876130512038,11.7332869066038,11.8762215696655,10.3911593553619,11.5231847282969,7.25724874170319,9.75974950698339,11.1425978388561,12.0689684615093,8.07712735811726,12.0033055807205,11.4438432324193,8.62086840844661,7.41984096373773,10.6595212837627,7.09143045921437,8.08675120822602,11.2402767376578,7.44524732141809,8.53095033039003,10.5161221874297,12.4321678488306,8.43838668194226,8.22202146725673,7.84439320266603,7.54328152569742,11.3949537727693,8.02192219679501,10.363100877396,11.8196609054171,7.30473948653998,11.9250865151383,7.88404866648695,8.29115543913637,7.88450247924161,8.53172087363476,10.329903614681,11.9524921229531
