"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56"
"B10_Spco",-33.7391901160096,-14.2509217435614,5.94495304901214,-0.36965478588054,7.5532099241581,3.21330666182268,-14.4360862512213,3.93493113244224,-7.94944279545139,1.81690278909932,-3.24037120880893,1.03669494789196,-2.22905517528608,4.58188305696725,-1.18749408233112,4.03825162097101,-3.96386783267765,3.49031856871521,2.47959667060345,-0.673807130232698,-5.53232025523281,-6.57005476115065,0.394427525574593,4.68959483511827,-5.41324161486661,-3.82156548502709,-5.85174699935908,-1.49110255219731,6.56179478564816,4.3107226112769,3.2073758034184,-3.42383442474166,-1.55593898894399,-2.86414184202281,-4.44345159084581,-0.842554184044636,-3.58155744671929,4.68330053219786,0.625919507951782,5.29529383646123,1.19290968781757,-2.51710869666121,-2.66293489019306,-9.75206960210717,-2.71183218277211,4.06026867280537,1.37098477830463,0.351277459989699,0.473647740048088,1.04797132482612,-0.764201141093703,-0.756042270340143,-1.23954183258833,2.14034342297961,-0.0153333249874596,-1.96821725584329e-14
"D28_Bogr",32.1363500621974,-1.57579528009505,-0.00404986765026454,-10.5737955503677,-8.92496064694693,8.61739824327528,-2.21124502356605,-0.903160713108781,3.50981800664353,-6.35646399405966,-4.46534367404697,-5.10974138203141,-17.6946683081529,5.38148202963856,-1.56673995681068,11.3366855562476,-2.61588123810868,0.476594273319869,-1.98857341710968,1.96148632635457,1.38787937639148,-2.34229242109596,-8.59883132803516,2.05073291996725,2.25784691763973,6.05470705094332,2.25144057728577,-5.71348357406445,-2.67931894077575,1.32070273119381,-3.87470056521132,-0.359333241338141,5.1640278473977,1.23614059743449,-0.691131186262637,-3.77975182319543,-2.37057717465547,-0.212200297140757,1.88003327771002,-2.93320871511395,1.81035518817837,3.83264055491884,1.03294029333856,0.523751554487676,-4.10561503105245,0.336640258571129,3.69231968675609,-1.85914319075077,4.69196936089799,5.25413769409975,1.80368602316503,1.48442871934689,-0.649802567547343,0.205119088909718,0.733051638806688,-4.30614745250413e-14
"B13_Spco",-37.1445015943865,-3.13293949900917,6.30846351891655,-5.10741547890719,-7.19543495220239,-0.7019916743157,-0.723870230365841,3.69113021931591,-5.19078811852808,-6.70618843064865,16.4490245950083,-6.29336583223124,-2.98327180775908,-1.74137123045883,4.37989557053577,-6.68731959108772,2.93678332698787,-3.18710460814889,4.00747210366659,-0.762718729786767,-0.735349103962191,-3.60076107158384,1.63314308313424,-6.31059794734383,-4.83527514168744,1.7110872023096,-2.99518168796865,2.1455830869468,-2.26619015380887,-1.93081568938224,2.49156968837175,4.06440940849071,3.41472686673356,-0.462688071040591,1.35362335594574,-7.68146778261362,0.3965559359476,0.452892859650481,-5.00562898626082,-3.31295921388178,6.98526947397817,-0.368523475214863,4.13860131685828,-3.39993555396632,6.1524083544342,-0.785285330099018,-1.30595598050063,1.97261592341606,4.77930081187455,2.62301650791132,-1.94126249287106,-2.82687082220666,-1.110923611834,0.424973860790812,-0.0688499572613844,-1.72535596920653e-14
"C19_Spco",-33.6676531918204,-4.40932249055707,-0.753877617108489,-3.87054803760029,-4.02171461520845,0.000968172921575215,-0.472786682066908,2.23311272271073,-9.14922308419986,-1.21089285404135,3.4319633661738,-2.63251573417821,0.727439225988465,6.35595391141689,-5.69226993394422,2.31489087906016,3.96932851258622,9.05551996426265,2.1798261293173,1.60637657116232,-8.37609673506299,-4.66182627738736,-3.23687108300108,-0.275134135458432,-0.0172758312096535,-4.45907595296217,-1.98732177606038,-0.244861153860409,4.74587563064942,-3.0245619621282,1.43633103775726,-2.92899439940109,-1.19387527816508,-6.42862324240515,8.57604468792309,-0.45637661719815,-4.45315048893228,-6.73877819080939,2.76441695368017,-0.963784896442073,-4.10487040342706,5.95194815745741,0.800697856219909,1.76819331586908,1.50666315187164,-6.46563931075116,-0.726917803401253,-0.976460060321739,0.118600802112997,-0.990850052626194,0.998801101830746,-0.219737083189326,1.65030522398427,-4.12560892199618,-0.447618905453789,-3.01525297785599e-14
"D30_Spco",-34.6128994193621,-1.61401389216949,8.12245682454763,-11.032831623354,2.33863062674734,-6.34881156234848,-17.2438315959405,3.23978286356403,-4.20280353369463,-12.400153031577,-5.78604568728585,-9.4634313080598,7.74225833604354,-10.7124308379633,2.23257479568738,10.7875303131126,2.72923639968437,0.467397809055433,4.7928072048462,-13.1328632831073,9.6633778960263,-3.82445393756046,5.07541610647969,-0.78122282962305,-1.13872049234706,2.43936934349142,4.80547753349567,-1.11579321977355,-1.58331078867583,0.22799377625919,1.50811388031178,1.26883615756756,-0.375576167587131,1.00647982245343,1.75161703091823,2.83686230573351,0.566565088930219,-1.76030648750963,4.76098284355668,-5.0242678970412,1.53988325520602,0.278309079531868,-3.60522499219068,-1.05234840146359,-1.57345409446088,-1.03125281626987,-1.75347253187051,-0.807843720346494,-0.804172927108833,-2.12272603517236,0.169921570256621,0.317734344652205,0.842440292876345,0.217030911229475,0.0421710246656597,-2.79290479632266e-14
"C21_Bogr",36.615810597775,21.6694851321708,7.81010574999556,-10.7805085729927,-9.97681369677414,2.86065700137469,-9.11093438218337,12.9872449603148,5.80657879197348,2.76399523519718,-5.11859754813974,10.9638086591093,2.40589875215618,3.97111674381437,12.9598238747068,4.69142342589408,3.29200669475238,-0.999662557644067,6.23408009875497,8.87841894603805,-0.657218713393445,3.36892525993223,5.25138964251008,-1.61838776666073,-1.63270283899012,-4.7270082494833,8.25474266017256,-0.772037144962553,4.45479493673181,-4.11161525657196,2.47104615871083,3.8509343065097,0.514974411256948,1.97702552862988,1.17178962711611,-3.17627501512833,1.55651869081548,-0.795965107215429,0.60360786613377,-0.87803714448754,-4.71100221730194,-1.77181810679049,1.45608847731829,-2.20445022477298,-1.1582117117342,0.275435650526931,3.31144950930704,-0.78009576013615,2.27338405986164,-0.128086373338989,-0.147836074667389,-1.11678376042883,0.163955256680828,0.259355347525531,-2.15888500471183,-4.58834359395865e-14
"B10_Bogr",28.2569384109755,-21.1141557037531,9.33570883790839,2.25336747985513,-6.09944448019049,-5.01539446557616,1.30557698535539,7.5896422677207,4.13635549261746,2.61192536392269,4.31019784491216,5.74298539416858,9.5335672654318,-1.54322138984618,0.222639607691761,-8.59131033349658,-4.85035501870075,4.07407352432421,1.63320991689876,-5.40000595475244,0.488590906265504,-3.07968030777909,-0.713503999569762,1.75158241851135,4.71769721289264,0.869470191031119,-0.0683891360507014,1.89920040704271,1.49332930713414,3.24847591910247,0.659741173778792,4.15120461752755,-6.95276115287302,1.33462404977615,1.60982131617733,1.14492951578887,-0.126014401933891,-1.96047108006872,-0.685463968368424,-3.06158032492191,-1.69106589801249,3.82419788762433,4.04706312665458,-0.822827584883263,-4.6976084036485,0.858026965359508,2.35723723611491,1.98735264001738,0.157076234044884,7.20737980321119,-5.73495011233967,5.3055538433985,3.09668221058105,2.29209188474182,0.401523186664503,-3.67475147533547e-14
"B9_Spco",-36.27582727428,-2.92328416102788,23.1332948958262,-3.41602826552115,12.7175293867533,-4.72131195520037,6.47227941427081,17.0609086318299,-2.47496692540887,1.39484681551638,14.0832741750285,10.0730939971303,-8.82663567132067,3.50388645588051,0.160259188656201,-4.77155339340743,-5.37655091211687,-11.6795254104843,-7.83825050727253,-0.920073557081741,2.3501730478816,-2.2349677588341,2.18554135910949,5.5643814724988,-6.54261074929493,-0.671172334777183,2.43001312234242,-3.16669698620927,-2.57726378883781,0.631970382940543,4.46582614355981,-1.27068134890561,2.90659764796996,0.800803906863339,-1.44192695306755,2.71796396288712,-1.97832320866889,-3.64925608033631,0.261937904653885,-4.01027234994087,-1.44899548854522,1.76879385216899,-0.373426780294307,1.26615676069628,-1.09351601790553,1.8889425691831,2.13114531933368,-1.81599439310814,-3.75083935668654,-2.4757262795692,2.75847016558123,1.47598976572499,0.721785221832297,-1.7144877624861,0.0947759497519863,-3.0444397003393e-14
"C22_Spco",-25.5952490370644,0.042793396955504,1.72243604601325,-7.73772265157088,-3.24425635934602,8.48506537492184,6.68326828966751,-4.55481315372727,-7.17671256416752,-9.19668769132218,-11.2785828682105,5.71922909174219,1.78227662299312,5.0559049306764,-2.87878272156847,-2.8348499387672,-0.347438053243862,1.404611687017,-0.00317529332409131,-0.794344168018111,1.11265696270794,-0.243872069948647,5.42873876472457,5.43768557841557,7.53194146764921,-2.44406564253611,4.63997536559458,-4.14426128700144,-0.957303838530645,-2.60493827198133,6.39446578777427,-1.52981122158724,5.20233972480623,-4.36611419515843,8.31621472735353,2.73365004123332,5.39602878603104,3.17677411336907,-4.40531825629488,3.29180266916951,4.80524776933192,1.43230144843984,1.01543702582854,2.12655093050445,1.9394652883942,6.60214595475146,-0.834485587814742,0.312485323649262,-1.36577433031615,2.51150954572479,0.0998304967217706,1.71674785935548,-1.16075002241856,-0.0131634745065824,-0.0659478237078008,-3.38973640823248e-14
"B14_Spco",-28.7608740401667,4.37825304699993,10.4935998705652,-4.03000791899135,4.46618650878437,0.0504651899977116,15.3286588045511,3.08519543243113,1.78554211084833,-4.49366324338696,-7.12482863449557,5.37166569794232,0.813623109877355,-0.00446085957789715,-9.80261538219917,2.36279414737121,4.03029967641277,3.80579603685886,1.99597725169471,2.106430486721,-2.26062131770336,5.31036971448712,-7.88652750408616,1.82494055744555,-1.04589049815959,1.78572491134851,3.89261471999287,4.61664143719197,-0.410833698108005,1.29023257314631,1.84928176118278,-2.64910534447624,-4.87868106932422,6.94075661132969,-1.07161961922416,3.52254915428518,-4.94621192765951,2.02145207600511,2.83194390791268,-4.71776279114218,3.27214764225878,-1.97096217985347,7.45015179051512,-3.17172330446307,1.20166219612305,2.72368080890844,-6.29044271439915,-0.998876032328522,1.99633930973601,-1.79027892661022,0.142525436515621,-0.451103745825917,-0.696953628909543,-0.0255624307497727,-1.41285054590534,-2.55394663750685e-14
